조교사명,Score
강성오,0.08648130363273435
강환민,0.1358415745221829
곽영효,0.5675633203138081
구자흥,0.1976478861712719
김동균,0.31703567324573034
김동철,0.11397811388279912
김윤섭,0.4140957982353439
리카디,0.1031745646221085
문병기,0.0
박병일,0.20540220710232884
박윤규,0.398586391046624
박재우,0.4916548449294816
박종곤,0.5623948364886249
박천서,0.49212438378348095
박희철,0.47026584536050076
배대선,0.9999999999999999
배휴준,0.3938845588696685
서범석,0.5210303762354909
서인석,0.5283173184476387
서홍수,0.2608670271889415
손영표,0.2646207883659519
송문길,0.3750878671907737
신삼영,0.23759861137560925
심승태,0.21856152424938108
안병기,0.46956181273776
안해양,0.4434732729191941
우창구,0.3555771602437758
유재길,0.49212201197079725
이관호,0.2890716884225376
이신영,0.3393627893857169
이준철,0.030554444580109367
이희영,0.8173876357105235
임채덕,0.003986128745118483
전승규,0.14336053592405645
정호익,0.6258512374228583
조현수,0.04676213588521544
최봉주,0.2545177978498579
최상식,0.5757886579174148
최영주,0.4328946736073998
최용건,0.040653421969885584
최용구,0.22843368571334471
토니,0.042539195927196655
홍대유,0.4105711652082965
임봉춘,0.33485312249771015
지용철,0.33485312249771015
김대근,0.33485312249771015
박대흥,0.33485312249771015
김점오,0.33485312249771015
서정하,0.33485312249771015
